food_tweet,sentiment_result
 rasa nak buat kek batik ????puasa baru sehari da macam macam nak makan?? 6 hari lagi oi kena ganti,1
 Yey kek batik ??,1
 semalam kawan bagi kek cheese harini adik beli kek batik ?? rosak diet,1
  jeonvcrs kek batik sedap tuh,1
 Jadi kisah kek batik yang salah track tadi ku sudah bagitw dengan ima,-1
 Kek batik yg biskut dia keras mana nak cari dm seller kat ig semua buat taktau je mmmmmmmmm,-1
" Yesss kek batik gue sedapppp, tq youtubee",1
  snfsltk Nisa. Mana nak jumpa orang jual kek batik murah kat su? Aku mencari lama dah ni.,0
 nak kek batik,1
  bisikanputera Hai saya ada buat kek batik semalam ??,0
" Alhamdulillah settle cod Istana Kek Batik harini. Dari pukul 3 tadi, la ni baru sampai rumah. Syukurr! ",0
 Craving Kek Batik and Brownies ??,1
 dah lama ya tak buat kek batik. aduh teringin pula,1
 yaAllah tolong la mane nak dapat kek batik indulgence dalam shah alam ni aqoeww cravinggggg,1
 Time ani la mau kek batik hm,1
 Kek Batik Indulgence ?,1
  schfess batiknya ada -1 kamis jumat tapi yg jumat kek lebih ke 'batik gamis' warna ungu gitu,0
  flowerbunkus  akhifairuz_ kena praktis tayammum. dua-1 hadas kecik dan besar boleh settle,0
"  Done! 3 hours teaching session and shopping time with mommy for kek batik cheeseeeeee ! Next, left 1 online session tonight. Yuhuuuuu",0
  saraaaisml kek batik guwa mana,0
  soleildomsun  endang_yl Batiknya kek batik mahal ????  apalagi cincinnya pasti mahal,-1
 Do yall miss my kek batik hulk,1
 Craving for samyang & kek batik,1
  peacheeps Kukira celana hobi kek batik :'),0
 Minta minta lah kek batik indulgence ku menjadi klau tak ku menangis tk berlagu,1
  i nak kek batik ??,1
 tengok bell buat kek batik rasa cam nak buat kek batik jugak ,1
 suddenly my lunch is kek batik,1
 teringin nak makan kek batik. kat pasar malam harini ada tak....,1
  iffasyafika93 Kek batik cheese weh.  Aku muak pulk tengok ????,0
  thestorykids Seungmin???????? itu yg dipake kek batik,0
"  idgfraa Hahaha, kena g beli lah gitu. Dah macam-macam jenis kek batik sekarang",0
 ok nak makan kek batik,1
 nak kek batik,1
 craving kek batik ,1
 Kek batik melting from  fabolous_pastry (ig). Sincerely homemade by me ?? help me to spread this ??,1
   cxpxjxn Nak kek batik,1
 Oh. Esok member iouls nak datang rumah. Siap-siap order kek batik dengan akak bawah rumah sebab iouls malas nak masak apa-apa. Lol,0
  wiwjjjjjjey Salfok celana jhope kek batik :( mana alat musik nya kek buat musik koplo lg,0
 So minggu ni kita restock Kek Batik yekk ??,0
 siapa ada jual kek batik?,0
  kingshadowtae Hobbi kek pake batik ??,0
 the fact that the auntie cleaner cakap kek batik i sedap ?? and i even gave my niece dia ckp sedap and nak lagi.,1
 Kek batik & cookies. Forever love sangat ??,1
 omg pasar malam ada kek batik. i suppose this is ?????????? ?????????? ? ,1
 Alhamdullilah rezeki murah today. Masuk keje pukul 6pm balik 10pm. Dapat kek batik dapat roti puree cicah sambal sardine!!!!,0
" Kek Batik ni nampak je simple , tapi kalau nak buat ikut citarasa aku tu memang susah nak jumpa huhuhu",1
 aaaaaa tak sangka kek batik indulgence sebenarnya sedap gila nak mampus???????? i thought rasa dia manis and biasa je,1
 Terasa nak makan kek batik tapi tulah kalau aku buat aku sorang je yg makan. Yang lain diet sangat ??,1
"  FariezaDiana Aiskrim tak aiskrim, kek batik awak memang ketagih. Cenggini ???? ",1
"  FariezaDiana Kek batik aiskrim? Wow sis, dah up level",1
  I jual manja-1 je dadih susu kat my sis’s cafe (Langkawi) selain dari kek batik ice cream.,1
 Ima ajar lh cara buat kek batik,1
 Last3 tengok youtube cara buat kek batik tapi pelik juga ku sebab berbeza beza cara dorang,0
 Jadi hari sabtu malam ku buat lh kek batik,0
 Tapi ku mw kek batik tu lembut dan guna milo 100%,1
 Kisahnya apabila ku teringin betul makan kek batik,1
 Nak kek batik ??,1
 kek batik paling sedap dont fight me ????,1
 craving for kek batik at this hour urgh,1
  myrmjd Kek batik awak pon pandai buat ??,1
 kolornya kek batik.... ,-1
 kek batik brownies with lotus biscoff spread ANDDDDD congo bars with cadbury crunchie spread and reese's pb chips!…,1
 not my bf throwing shades at me saying tht i only knew how to make kek batik whenever i tell him im ?cooking?,0
 Rasa macam nak buat kek batik ??,1
 craving kek batik yang ada cheese tuuu??,1
 Dokleh berenti makan kek batik??,0
 Order kek batik pun padu ni ??,1
 craving kek batik so let’s make it tonight :)))),1
 Mau kek batik ??,1
 Rasa nak makan kek batik dengan cheesekut tapi taknak yang buat sendiri. Nak yang orang lain buat,1
 Sedap nya kek batik ??,1
  my pretty boy sunshine precious cupcake ice cream mochi kfc kek batik nasi lemak ayam masak merah ??? ,1
  thankyou so much for those yang beli and repeat my kek batik indulgence!!! sumpah tak expect baru -1nd slot dah almond,0
  alisyarshd thankyou alisya! anyone yang nak makan kek batik with a premium taste boleh roger i okay! ???? ,1
 Esok nak buat kek batik lepastu nak makan sorang-1 ,1
  Safraathirah  harizrafley  theisyraf  thezytrn.. Saya dah lama teringin nak beli kek batik /roll,1
 i wan kek batik!!! send kek batik pls,1
 Tetiba teringin nak buat kek batik ??,1
" Rindu nya buat makan makan kat uma sini. Lama nya derg tk kumpul kat sini. Sandwish, mee hoon, ayam merah, kerabu mangga, kek batik, sobsob.",0
  i’m so proud sebab first attempt kek batik i sedap ??,1
   Siap sudah kek batik indulgence ?????? lama betul nk cari semangat,1
    NikShariff9-1 Baik bang.. maceh.. kek batik ngan cheese leleh tu memukau la..,0
   nak kek batik,1
    Syamimi_Azrx Nak kek batik mimi!,1
   Ramai suka kek batik i ni. Halamak??,0
   my hot chocolate become kek batik ??,1
"   Nk post sini sbb dah berjaya buat Kek Batik Indulgence ehekkk, walaupon comot siket buat it's okay sbb I know what",1
    naz_miy Gilehhhh babihh????mampu buatkan kek batik jee??????,-1
"   Sendiri yang bangun bangun terus makan kek batik, sendiri yang stress bila perut sakit ?? Ayreen ayreen ???????",0
   Cakap dengan kawan-1 craving kek batik indulgence. Terus dieorang carikkan yang leleh-1 terus ???? sayangg korang ??????…,0
"    lelechicaa Bntr, baju batik sklhnya kek kenal ????",0
    izwanijusof Kek batik pun order hmm,0
   yay saya dh order kek batik hehe,1
   Teringin kek batik. Tapi taknk mkn manis ??,0
"    _nrizzaty Nanti birthday i, buat kek batik eskrem okey! Celeb dkt Jogja lg HAHAHAHAHAA. ",1
   Ya Allah sayang mana lah nak cari kek batik kat Singapore ni??,1
   Makan kek batik...aktif betul girl nie kick kick... Manis gamaknyaa..,1
    normohd333 benda aku plg mls buat ialah kek batik. tp aku suka makan ??,0
   Aduh tetiba teringin nak makan kek batik tapi malas pulak nak keluar beli bahan https://t.co/RX6tRnJWFk,1
   Halahh teringin nk mkn kek batik now ????,1
    nurulfrhnm sedapnyo awok kek batik sayo lamo doh craving trangtangtang,1
    notossho Dah lama tak makan kek batik ??,1
   Casually ordering Kek Batik at -1 am. Thank you seller for responding too ????,0
   aaaa dia rindu nak makan kek batik aku sksjsksksksks ??,1
    NoorAiman03  m1ygkkk Pandai masak kek batik ??,1
"   Wow, kek batik habis licin ?? Dah cakap, kalini sedap lain macam sting aku yahoo",1
Rasa macam nak jual kek batik melting since ramai request suruh jual lepas kasi rasa je haritu ??,1
IntanNadiaaaa aku baru lepas tengok video resepi nak buat kek batik indulgence ????,0
Memalam buat kek batik and everyone dlm rumah be like wahhh bau kuih rayaaaa,0
Nak kek batik indulgence malam-1 ni. Mana nak dapat ??,1
   sedap ke kek batik indulgence ni ?? terliur pulak emm,1
   mok kek batik ??????,1
   Habis dah kek batik shahirah ??,0
   Dia payung gambar pulakk .hahaha sis da la hantu kek batik ..mmg lame da perhati kek batik qills jual ni ..ko sabar,0
    giginisa_ kek batik tak pernah tak sedap. kecuali tak cukup bahan je,-1
   1st time makan kek batik indulgence. Sedap teroxxxx????.,1
   Nak kek batik chesse tu tapi,0
   i am craving for kek batik.... so imma do it tomorrow ??,1
   Sedapnya kek batik aku ??,1
"   Sumpah, aku akan beli lgi kek batik n!!",1
   Craving kek batik ??,1
   mana nak dapat kek batik yg sedap eh? teringin pulak ????????,1
   Dari pukul 1 tghari tadi babe g cod Istana Kek Batik. 5.30 ptg baru sampai rumah. Syukur rezeki harini. ,0
   tapi lapaq mcd lapaq kek batik indulgence jugak ??,1
   Aaaaa lama tak makan kek batik cheeseeeeee,1
   Dah lama ngidam nk makan kek batik indulgence  NikShariff9-1 ni.  Harini baru dpt rasa sbb selalu habis . ,1
    therealmadian Nak kek batik. Please.,1
   Tetiba teringin kek batik ????,1
   Hari ahad tgklah hindustan. Dan kek batik ?? xpelah. Nikmati dlu.,1
   I think my kek batik is very delicious. #doneselfclaim,1
   takde ke kek batik boleh pos hm??,0
   Not a big fan of kek batik but I’m craving ittt,1
   Malam esok ada cod tau. For those yang tengah craving oden ke kek batik ke. Jom join cod. ,0
   Teringin gile nak makan kek batik ??,1
   Mana nak cri kek batik area gombak eh sbb mls nk buat??,1
   aku sebenarnya menyesal tak makan kek batik mango cheese nurin semalam ??,0
   macam tak sempat je nak buat kek batik indulgence petang ni…macam sis ada banyak lagi design je niiiii ,0
   I nak buat kek batik sbb craving gila but malas nak turun beli barangg ??,0
BASED IN BDR SRI PERM… https://t.co/KAopwka-1Ui,0
"   I want brownies, i want creampuff, i want kek batik ??????",1
"    wanie_Mj  am_nuramalina waniii, tetiba rindu kek batik kauuuuuu??????????",1
   Craving kek batik em,1
   Do i smell kek batik indulgence this evening ?? ,1
   ulang ulang lah aaku ni nk makan kek batik,1
   mcm nk buat kek batik indulgence. tapi tapi tapi i tgh diet . siap siot nk mkn,1
   Kek batik Engko sedap dol,1
   Nk kek batik yg ada cream cheese tu,1
"   Time jual kek batik time pkp pon dia minta free gak , tau la aku buat sedap pon astaga budak niii ?????",0
    Kek_Batik ????????,0
    fashazf You're welcome sha ?? harap awak puas lah makan kek batik tu hehe,1
   Craving kek batik indulgence ??,1
    toastedmahone for kek batik biase byk but indulgence omg so susah ?? murungggg,-1
   yeahh dah pandai buat kek batik ??,1
    Sya_NurFi Nak kek batik!,1
   Aku nak kek batik ??,1
   Cis kek batik chocolate ganache tak jadi ?????,-1
   Kek batik done. Tak tahu la apa rasa,-1
   Kek batik indulgence sedap sangat rasa nak menangis makan ??,1
   Kek batik kurang manis is done ?,0
   semekom i craving kek batik indulgence huaaaa sedeyyyy,1
   Butter takde cancel kek batik malam ni,-1
   Mak puji cheesekut dengan kek batik kita banyak kali. Awhhhhh ??????,1
   Kek batik macam sedap. No no !,1
   mana nak beli kek batik ??,0
"   Teringin sangat nak kek batik  Syifope , tapi jauhhh.. so that kota buat sendiri lah.. kek batik indulgence ",1
    naffaisul_ Kek batik pun tak lepas lagi Tsk tsk tsk ??,-1
   tiba craving kek batik aa marila kita buat,1
    miramahira I pun dah break my no sugar rules ?? semalam makan burger king dgn Sprite. Harini makan kek batik ??,0
   nak kek batik lah pulak,1
"   amboi kek batik chocojar, kemain  ??",0
   kek batik potongan hancur ,-1
   mau buat kek batik tapi mls hahahaha,0
"   Cheeseburger,nasi Arab,pizza,tea beng, kek batik and sandwiches amalin ?? #imagination",0
   Made a kek batik ganache yesterday ,1
   Stop la jual kek batik. Dah ramai sgt pondan jual. Yg nak beli nya sorg je. Chocojar pun sama.,-1
   Ada order Kek Batik hari ini dua kotak. At least I have something to do today right. Ada lagi ke nak selit order? ??,0
   teringin kek batik la pulak,1
   i made two batches of kek batik today :D,0
   whipping cream habis stok la pula kt sini hmm so tak jadi la nak buat kek batik indulgence buat kek batik biasa je la,0
"   Menu harini, ayam masak lemak cili api dessert dia kek batik ??",0
"   to everyone who loves nasi lemak ayam, takoyaki, pizza cheese, kek batik and sambal belacan, I LOVEEEEE YOUUUU",1
   Craving kek batik????,1
   I is teringin kek batik soo bad.,1
  Thankyouuuuu izza bagi kek batik manis yang sedapppp ??,1
  Kek batik????,0
   syuhailarahmat Ya Allah sis your kek batik is the best kek batik ever pernah beli -1 kali sumpah tak menyesal,1
  I even thought of making kek batik bc I'm craving for something chocoalatey and sis already bought the ingredients hehe ?????,1
 Tambahan menu kek batik kali ni sangat lah unik dan sedap ye! Nantikannn ??,1
 Tetiba craving something chocolate ??. Esok nak buat kek batik ah,1
 kek batik aku kalini sedap??,1
 Craving kek batik??,1
 Best lah tengok snap ecah bersukan.. aku tengok sambil makan kek batik sarawak,1
 cream cheese dngn kek batik sedap kee ???? i cannot imaginee kalau cam whipped cream tu okay lagi,-1
 aku niii nk buat kek batik pon pemalas haih apalah nk jadi ??????,-1
 update ?? i finally got my kek batik ???????? ,1
  ada rasa ati nak molah kek batik tapi tauk sik jadi huhuhuh,-1
 Nak kek batik.,1
   Ooo senang je buat kek batik indulgence...,1
   kek batik paling sedap kat ganu. ?? ,1
 MohKeIpoh Salam. Those yg dah muak makan kek biasa tu boleh try KEK BATIK INDULGENCE CHEESE yg sangat sedap,1
   effie_mohamad  NikShariff9-1  fadzrulafzal Tu ah tu. Kek batik tu yang tempting tu. ????????,1
   I'm craving for some kek batik,1
 Ya Allah teringinnya kek batik,1
 minggu depan bawa kek batik lah haha,0
  thinking abt kek batik........ i want kek batik now.,1
  sumpah rasa nak makan kek batik cheese tu,1
  bu tanya bila nak buat kek batik ????,0
 Nak kek batik,1
  sedap nya kek batik ????????,1
 Aku nak kek batik hurmmm,1
   Nak kek batik (‘:,1
  nak kek batik :(,1
  Happy nya bila tengok cust suka kek batik KBC ??,1
"  i go bonkers for brownies, chocolate chip cookies and kek batik and some of my friends sell all of that stuff",0
  Teringin kek batik indulgence ????,1
  Istg my little sister makes the best kek batik in the world. You cannot change my mind,1
"   Aku buat kek batik tapi tak sedap sebab bukan biskut marie, choc dia dah choudo ii sedap gila. Off sebab biskut je ?? im sad",-1
 Nak buat kek batik cadbury hahah sbb craving ??,1
Craving kek batik... ??????????,1
Sedapnya nak kek batik juga,1
  Sedapnya kek batik nak nangis??,1
  just drank tealive and ate a whole damn kek batik purrr?? ini adalah #skincare routine????,0
"   disebabkan craving kek batik, jadi kita buat jelah.",1
  Semangat nak buat kek batik tapi butter bahan penting tak de pulak ??,1
Weh nak kek batik,1
 shazzmiraa Hahaha. Kenapa buat kek batik keras kakcik. Happy birthday!,-1
kek batik ganache aku kurang smooth tapi masyallah sedap bethul,1
 amagad dah boleh potong my kek batik ganacheeeeee,1
   For sure esok buat kek batik!,0
" Dua kali beli, dua-dua tak memuaskan tekak. Jadi, PKPB hari pertama, kita buat walaupun haram tak pernah buat kek batik",-1
 Waaa my kek batik horlicks berjayaaaa,1
  Ibu nak jual kek batik pulak since area rumah aku ni takde lagi yg jual kek batik ??,0
   harap-1 kek batik ganache hari ni jadi ????,0
   Kek batikkkk ?? hahaha end up I jadi tak suka kek batik ,-1
 Aku craving nak makan kek batik tapi aku malas sangat nak buat sebab nak makan je ?? Mana nak cari yg dah siap,1
nak kek batik,1
 Aku rindu kek batik ??????????,1
  Nak kek batik/ choc moist la ?? TAPIIII!! Taknak masak taknak buat sendiri ??,1
Kek batik pun da dapat tadi puas hati ah ??,0
  Nak makan kek batik dekat bokbong cafe ??,0
" Anyway, Alhamdulillah ?? siapa nak order wawawax or kek batik boleh dm hihi",0
 I have this weird cravings of brownies or kek batik whenever in quarantine,0
"Takpela taknak lah kek batik, saja je tweet tadi tu huhuk",-1
Nak kek batik nak kek batik nak kek batik nak kek batik,1
  Nak buat kek batik tapi butter tak cukup pulak. Lambat pulak ummi balik harini ??,0
 Mcm sedap laa pulak kek batik,1
  Balik rumah awal ni mcm nak buat kek batik,0
   tetiba teringat kek batik indulgence kak ipar. sho shedappp. ??????,1
  njihhbsrin don't attack me like dis laaa paling paling pon buat kek batik je cuk tapi tula :),0
Rasa nak makan kek batik. Kena buat lah ni kan ??,1
 CzarHareii kek batik indulgence. sedap tauuu ????,1
kenyang gilaaaa. tapi tekak nak makan kek batik mama buat sebab nampak sedappp??????,1
erra you don't need kek batik ok,-1
kek batik cheese omg so good,1
sedap weh kek batik sumpah tak boong,1
Sedapnyaa kek batik indulgence ??,1
Nak kek batik bodo sumpah craving,1
SEDAPNYAA KEK BATIK MADAM,1
kek batik mdm fatimah is soooooo good ????,1
teringin kek batik la hahahs,1
Sedapnya kek batik ya allah aku bertekad nak buat minggu ni kalau tak buat aku tidur la tu,1
Nak kek batik nak cheesekut nak kek nak ayam kfc nak coklat nak rojak nak potato bowl kfc ??,1
   i want to eat indonesian food so bad like ayam geprek lontong sayur nasi uduk ayam penyet so so so so bad like ugh,1
will i be the happiest person if i got my nasi ayam penyet and chocolates? yes??,1
"Tengok org post gambar cake teringin cake. Orang post nasi ayam penyet, teringin nasi ayam penyet ",1
Rindu pulak nasi ayam penyet Teluk Ramunia,1
I want nasi ayam penyet so bad :(((,1
Nasi Ayam Penyet akak ni sedap. ,1
" Lapar la ciod. Balik nak makan nasi ayam penyet, nasi ayam geprek, nasi sambal universal, nasi goreng cili padi.",1
 eyzahrhsmn_ Aku ingt kau rindu Nasi ayam penyet Medan tadi,1
craving nasi ayam penyet and ayam geprek laaaaaa,1
" Dah dekat pukul 3, tapi lunch pun belum. Gigih sangat buat nasi ayam penyet.",1
"  tengah craving sweet chili fish mcd, nasi ayam penyet, tomyam siam, dgn tealive. sabar k diana. nanti kita pergi beli",1
 woodztaro Nak marah jugak i beli nasi ayam penyet rm13 takpe takdek tempe ngn tauhu shhshshshs,-1
wah rindu nasi ayam penyet cheese ball 4 extra sambal,1
Nasi ayam penyet dekat situ dap giler k.,1
 sedapnyaaaa nasi ayam penyet!,1
Baru nak skip dinner tapi ada orang bagi nasi ayam penyet.. takkan nak tolak ;__;,1
sedapnya kalau dapat nasi ayam penyet di waktu-1 begini ??,1
found this one nasi ayam penyet yang sambal dia taste exactly macam sambal ayam penyet kat kafe C matrik kedah dulu… ,1
nasi ayam penyet fav all time,1
 syifaaismaill rindu kopok rindu laksa rindu air masin rindu nasi ayam penyet rindu awak eh eh,1
Craving for nasi ayam penyet ,1
Tengah-1 kelas teringat sedapnya nasi ayam penyet hm I WANT,1
Best nasi ayam penyet so far,1
"Nasi ayam penyet tapi sambal tak pedas, tersangatlah mengecewakan",-1
Made nasi ayam penyet for the first time ,1
Nk makan nasi ayam penyet dngn nasi ayam geprek setiap hari...,1
"Craving molten , mcD , nasi ayam penyet plentong eh semualah craving",1
 600situp Laiii. Makan nasi ayam penyet sekali,1
Wehhh aku rindu nasi ayam penyet hm manaa nak cari kat kuala ni ??,1
"Dia tanya nak apa-1 tak. Hehehehe usah ditanya. Mesti la nak, kikikiki. Dapat la nasi ayam penyet fav dekat batavia",1
im craving nasi ayam penyet kat keramat tu ??,1
Nak makan nasi ayam penyet ,1
 aidakhirol Weh nasi ayam penyet. Nasi lemak pandan. ,0
Dua kali dah repeat nasi ayam penyet taman mawar ni.??,0
Nak makan marrybrown ke nasi ayam penyet?,1
Aku teringin nak makan nasi ayam penyet kt kampung melayu tu..lama tak makan..tapi takut nak ke sana,1
" dlazmn Kat taiping ada port nasi ayam penyet sedap , ytjt",1
 Smpai hbis deg ke odl.. Rindu nasi ayam penyet cik leha,1
Teringin betul dgn nasi ayam penyet panchor tu. ,1
 Nasi ayam penyet. Sedap nyah ,1
nak makan nasi ayam penyet rn,1
The free food is nasi ayam penyet!!!! ,1
ended my uncomfortable day with nasi ayam penyet. best ending ever.,1
"Makan nasi ayam penyet, show jugak",1
Teringin nasi ayam penyet ????,1
"Ayam penyet aku makan tadi, sambalnya failed. ",1
 Done nasi ayam penyet for the first time,1
 siewpakchoi Sambal penyet dah ada. Timun ada. Nasi ada. Campak ayam goreng segera masuk airfryer nanti jadi dinner ngam juga ni. ??,0
Alhamdulillah rezeki hari Jumaat dapat nasi ayam penyet and abc ??,1
Semalam request nak makan nasi ayam sambal penyet. Harini umi tunaikan. Hehehe. Dapnyeh!!,1
